epoch,step,train/loss,val/auroc,val/auroc_Brocho-pneumonia,val/auroc_Bronchiolitis,val/auroc_Bronchitis,val/auroc_No finding,val/auroc_Other disease,val/auroc_Pneumonia,val/loss
0,217,,0.6489092111587524,0.6104285717010498,0.6267911195755005,0.6261576414108276,0.6477698087692261,0.6475390195846558,0.7347691059112549,1.1378257274627686
0,217,1.1471704244613647,,,,,,,,
1,435,,0.6763737797737122,0.6223793625831604,0.6805532574653625,0.64577716588974,0.6696963906288147,0.657960057258606,0.7818766236305237,1.126591682434082
1,435,1.136731743812561,,,,,,,,
2,653,,0.6827735900878906,0.6278911232948303,0.6915767788887024,0.6478678584098816,0.6755216717720032,0.6623706817626953,0.791413426399231,1.117545247077942
2,653,1.128494381904602,,,,,,,,
3,871,,0.6863856315612793,0.6296811699867249,0.6946334838867188,0.6531636714935303,0.6823460459709167,0.662953794002533,0.7955355048179626,1.1096690893173218
3,871,1.1212602853775024,,,,,,,,
4,1089,,0.687148928642273,0.6325400471687317,0.695172905921936,0.653232753276825,0.6821845173835754,0.6636863946914673,0.7960770130157471,1.1036163568496704
4,1089,1.1154340505599976,,,,,,,,
5,1307,,0.6885381937026978,0.6339823603630066,0.6951867341995239,0.6539066433906555,0.6848850250244141,0.6662131547927856,0.7970551252365112,1.097468376159668
5,1307,1.1105355024337769,,,,,,,,
6,1525,,0.6892732381820679,0.6447612643241882,0.695408046245575,0.657275915145874,0.6893694400787354,0.6559267044067383,0.7928980588912964,1.0786534547805786
6,1525,1.1004700660705566,,,,,,,,
7,1743,,0.6886428594589233,0.656029462814331,0.6940110921859741,0.659003734588623,0.6913487911224365,0.6512469053268433,0.7802172899246216,1.0648720264434814
7,1743,1.0820330381393433,,,,,,,,
8,1961,,0.6916337609291077,0.6673749685287476,0.6925172805786133,0.6619669795036316,0.6965393424034119,0.6496322154998779,0.7817718386650085,1.0552717447280884
8,1961,1.0688436031341553,,,,,,,,
9,2179,,0.6943932771682739,0.676750123500824,0.6918119192123413,0.6664938926696777,0.702022910118103,0.6494826674461365,0.7797980904579163,1.049499750137329
9,2179,1.05734384059906,,,,,,,,
10,2397,,0.6970910429954529,0.6880183219909668,0.6903872489929199,0.6697595119476318,0.7063345909118652,0.6488248109817505,0.7792217135429382,1.048359751701355
10,2397,1.0501552820205688,,,,,,,,
11,2615,,0.7012007236480713,0.6934399604797363,0.6904564499855042,0.6760228872299194,0.710777759552002,0.6528317928314209,0.7836756706237793,1.0417486429214478
11,2615,1.0438578128814697,,,,,,,,
